,time_casa,time_visitante,totalgolsht,possebolacasaht,possebolavisitanteht,chutescasaht,chutesvisitanteht,chutesnogolcasaht,chutesnogolvisitanteht,chutesforagolcasaht,chutesforagolvisitanteht,chutesbloqueadoscasaht,chutesbloqueadosvisitanteht,cornercasaht,cornervisitanteht,chutesdentroareacasaht,chutesdentroareavisitanteht,chutesforaareacasaht,chutesforaareavisitanteht,defesasgoleirocasaht,defesasgoleirovisitanteht,passescasaht,passesvisitanteht,passescertoscasaht,passescertosvisitanteht,duelosganhoscasaht,duelosganhosvisitanteht,disputasaereasvencidascasaht,disputasaereasvencidasvisitanteht,PSH,PSD,PSA,vencedorft
1385,Tottenham,Hull,1,62,38,13,4,3,3,5,0,5,1,1,2,4,2,9,2,3,2,339,195,87,71,25,23,8,11,1.25,6.6,14.0,H
1386,West Brom,Southampton,0,40,60,3,4,1,1,1,1,1,2,3,3,2,1,1,3,1,1,197,291,71,84,24,21,12,9,3.21,3.26,2.49,D
1387,Fulham,Newcastle,2,67,33,10,7,0,3,6,4,4,0,3,3,4,3,6,4,1,0,366,180,89,78,30,13,12,6,2.55,3.57,2.83,A
1388,Man City,Sunderland,1,74,26,8,5,3,2,5,1,0,2,2,3,3,3,5,2,2,2,349,107,88,64,25,31,9,15,1.27,6.48,13.15,H
1389,Southampton,Crystal Palace,1,54,46,9,6,2,2,6,1,1,3,0,2,3,3,6,3,2,1,230,190,86,76,24,17,7,8,1.34,5.69,9.9,H
1390,Man City,Crystal Palace,3,76,24,9,2,3,2,4,0,2,0,9,0,6,1,3,1,0,2,363,117,91,60,30,24,9,6,1.14,9.39,21.47,A
1391,Southampton,Leicester,2,55,45,9,9,5,2,2,5,2,2,6,4,7,6,2,3,2,2,203,165,76,72,34,26,17,12,1.76,3.88,5.1,D
1392,Liverpool,Bournemouth,2,72,28,12,4,5,1,5,3,2,0,4,2,6,4,6,0,0,4,325,125,87,62,33,28,14,10,1.4,5.31,8.45,D
1393,Leicester,Brighton,1,48,52,11,4,2,2,4,2,5,0,1,3,7,3,4,1,2,1,238,246,84,81,31,16,17,11,1.95,3.45,4.53,H
1394,Tottenham,Stoke,1,67,33,7,1,4,0,2,1,1,0,5,2,5,1,3,0,0,4,310,150,84,65,33,32,12,14,1.3,6.24,10.68,H
1395,Chelsea,Tottenham,2,47,53,6,10,1,2,4,4,1,4,4,1,5,6,1,4,0,1,176,201,78,86,28,24,5,7,2.72,3.56,2.69,D
1396,Tottenham,Man United,1,60,40,7,5,0,3,4,2,3,0,3,2,3,4,4,1,2,0,270,182,83,73,18,25,4,7,2.07,3.7,3.75,A
1397,Leicester,West Brom,0,60,40,0,5,0,2,0,2,0,1,1,1,0,3,0,2,2,0,280,180,73,66,31,29,12,18,1.78,3.63,5.49,A
1398,Tottenham,Norwich,2,65,35,8,5,6,2,2,2,0,1,7,3,8,3,0,2,2,4,278,146,78,73,34,15,11,5,1.46,4.77,8.0,H
1399,Tottenham,Arsenal,0,59,41,7,7,2,1,3,3,2,3,8,3,6,4,1,3,1,2,246,169,80,72,21,21,7,5,1.86,3.94,4.15,H
1400,Aston Villa,Man City,0,48,52,2,3,0,1,2,1,0,1,0,3,0,3,2,0,1,0,271,287,83,86,25,26,6,12,8.15,4.93,1.44,D
1401,Everton,West Brom,1,73,27,16,4,2,1,5,2,9,1,8,1,9,3,7,1,0,1,300,111,85,59,26,30,9,16,1.52,4.33,7.65,A
1402,Chelsea,Leicester,0,76,24,10,3,2,1,5,1,3,1,4,4,6,1,4,2,1,2,392,114,89,69,26,23,6,7,1.33,5.42,11.37,A
1403,Middlesbrough,Sunderland,1,47,53,4,5,2,2,2,2,0,1,0,3,2,2,2,3,2,1,203,223,73,74,26,38,11,22,2.23,3.44,3.58,H
1404,Chelsea,Bournemouth,0,76,24,12,4,2,1,4,3,6,0,5,1,5,2,7,2,1,2,378,117,89,67,21,19,10,7,1.3,6.3,10.73,H
