;HomeTeam;AwayTeam;FTR;B365H;B365D;B365A;Div;Date
356;Lorient;Paris SG;D;3.0;3.0;2.5;F1;2010-11-14
357;Lyon;Nice;H;1.36;4.5;9.0;F1;2010-11-14
358;Nancy;Valenciennes;H;2.15;3.1;3.6;F1;2010-11-20
359;Nice;Montpellier;A;2.5;3.0;3.0;F1;2010-11-20
360;Paris SG;Caen;H;1.53;3.75;7.0;F1;2010-11-20
361;Rennes;Brest;H;1.75;3.4;5.0;F1;2010-11-20
362;Sochaux;Lorient;H;2.3;3.0;3.4;F1;2010-11-20
363;St Etienne;Auxerre;D;2.2;3.0;3.6;F1;2010-11-20
364;Toulouse;Marseille;A;3.25;3.0;2.38;F1;2010-11-20
365;Arles;Bordeaux;A;5.5;3.5;1.67;F1;2010-11-21
366;Lens;Lyon;A;3.8;3.1;2.1;F1;2010-11-21
